id,name,count
198,She Tai Bo Huang,309
199,Wu Tou Yun,301
200,Kou Gan She Zao,300
201,Xin Zang Jian Cha Wei Jian Yi Chang,300
202,Quan Shen Fa Re,299
203,Chi Hen,299
204,She Xiang Dan Hong,296
205,Gong Ti Qian Wei,295
206,Bai Se,294
207,Wu Bi Sai,293
208,Mai Xiang Ruo,293
209,Kou Chun Hong Run,292
210,Wu Gan Shi Xing Luo Yin,292
211,Liu Qing Ti,291
212,Xin Dian Tu Zheng Chang,289
213,Wu Ming Xian You Yin,289
214,She Zhi Hong,287
215,Shi Yu Liang Hao,286
216,Jing Shen Zhuang Tai Chai,285
217,Gan Bu Zheng Chang,283
218,Wai Yin Wu Yi Chang,282
219,Jia Zhong,280
220,Quan Shen Lin Ba Jie Wei Jian Zhong Da,278
221,Da Bian Pian Ruan,278
222,Sheng Yin Si Ya,277
223,Gong Jing Qing Du Mi Lan,276
224,Bi Ti Liu Chu,276
225,Gan Pi Zheng Chang,275
226,Kou Chun Chao Hong,274
227,Yue Jing Bu Gui Lu,274
228,Bian Tao Ti Zhong Da,273
229,Wei Hong Ji Zhong Kuai,273
230,Gong Jing Zheng Chang,270
231,Yue Jing,270
232,Wei Jian Ming Xian Yi Chang,269
233,Fu Bu Ruan Wu Ya Tong,264
234,Pai Bian Zheng Chang,263
235,Chi Xu Yi Zhou,262
236,Bai Se Tan Ye,260
237,Hou Bu Hong Zhong,259
238,Xin Zang Ting Zhen Zheng Chang,259
239,Sheng Li Fan Ying Zheng Chang,259
240,Shang Hu Xi Dao Gan Ran,257
241,Xin Fei Gong Neng Zheng Chang,257
242,Fan Suan,255
243,Gao Re,254
244,Wu Pi Zhen,252
245,Yao Bei Bu Teng Tong,252
246,Zhong Xia Bi Jia Fei Da,248
247,Ti Wen,248
248,Wu Fan Zao,248
249,Bai Se Tan,245
250,Wei Yin Chu Bing Li Zheng Xiang,243
251,Ai Qi,242
252,Duo Han,240
253,Yao Bu Ya Tong,240
254,Wu Gan Pi Zhong Da,238
255,Wei Wen Ji Za Yin,237
256,Fu Bu,237
257,Xin Lu Qi,236
258,Wu Fu Zhong,236
259,Ru Xian Jie Jie,235
260,Hu Xi Yin Cu,234
261,Hong Se Ban Dian,234
262,Xin Lu Pian Kuai,232
263,Nan Yi Ru Shui,232
264,She Se Dan,231
265,Xia Zhi Wu Fu Zhong,230
266,Ti Zhong Jian Qing,230
267,Yue Jing Bu Gua,230
268,Ye Jian Ke Sou,229
269,Shi Xing Luo Yin,229
270,Sheng Li Fan She,229
271,Bai Se Fen Mi Wu,229
272,She Tou Hong Run,226
273,Wu Bing Li Xian Xiang,224
274,Mian Bu Chao Hong,224
275,Fu Bu Zhang Tong,223
276,Shi Wu Mo Hu,221
277,Chi Xu San Tian,219
278,Jing Qi Yan Chang,219
279,Ru Fang Zhang Tong,217
280,Da Pen Ti,217
281,Chuan Xi,216
282,Qing Xi,215
283,Jing Shen Qing Chu,215
284,Hou Bu Teng Tong,214
285,Zi Gong Qian Wei,213
286,E Xin Ou Tu,212
287,Ji Li Zheng Chang,212
288,Yan Bu Wu Hong Zhong,210
289,Ye Jian Nan Yi Ru Shui,210
290,Da Bian Xi Bo,208
291,Xin Fei Jian Cha Wei Jian Yi Chang,206
292,Chi Xu Ban Nian,206
293,Wu Tong Jing,205
294,Chu Xie,204
295,She Tai,204
296,Yue Jing Bu Diao,202
297,Wei Fa Xian Yi Chang,201
298,Fu Bu You Ya Tong,201
299,Ye Niao Zeng Duo,199
300,Jing Shen Zhuang Tai Wen Ding,199
301,Yan Gan,198
302,Fu Bu Rou Ruan Wu Ya Tong,198
303,Fu Jian Zheng Chang,198
304,Bi Zhong Ge Zheng Chang,197
305,Hou Bu Chong Xie,196
306,Shuang Xia Zhi Wu Shui Zhong,194
307,Yue Jing Liang Jian Shao,194
308,Wu Xia Fu Tong,192
309,Shen Jing Xi Tong Jian Cha Jie Guo Wei Yin Xing,192
310,She Tai Hong,191
311,Ke Sou Jia Zhong,190
312,Chi Xu Shi Jian:Yi Nian,189
313,Pai Bian Pin Lu,188
314,Yao Bei Bu Ya Tong,187
315,Wu Hong Tong,186
316,Tan Duo,186
317,Yue Jing Gui Lu,185
318,Zhong Zhang,185
319,She Tai Dan Bai,185
320,Mai Xiang Hua Shu,184
321,Yan Bu Chong Ying,182
322,Mai Xiang,182
323,Wai Yin Wei Jian Yi Chang,181
324,Tan Liang Shao,181
325,Pi Shen Wei Hong Ji,180
326,Shui Zhong,179
327,Xing Gong Neng Xia Jiang,178
328,Gong Jing Mi Lan,177
329,Zuo Xi Guan Jie Zhong Tong,177
330,Zhong Tong,176
331,Huo Dong Du Liang Hao,175
332,Chi Xu Liang Ge Yue,174
333,Pai Qi Bu Chang,174
334,Biao Mian Guang Hua,174
335,Zuo Xi Guan Jie Ji Ye,173
336,Fu Ruan,173
337,Mai Hua,172
338,Wai Yin Chao Hong,170
339,Wu Yan Tong,170
340,Shen Jing Xi Tong Jian Cha Jie Guo Yin Xing,170
341,Shi Yu,170
342,Shang Fu Bu Teng Tong,169
343,Bai Dai,169
344,Niao Tong,168
345,Wu Tan,168
346,Gan Bu Jian Cha Zheng Chang,168
347,Mai Xiang Xi,168
348,She Tai Dan Huang,168
349,Ren Ru Tou Liu Bing Du Yang Xing,167
350,Juan Dai,167
351,Shi Zhen,167
352,Yin Dao Zheng Chang,167
353,Shang Fu Bu Bu Gua,166
354,Guan Jie Teng Tong,165
355,Shuang Ce Huo Fu Man Zheng Yin Xing,165
356,She Tai Dan,164
