treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
0,10,4394,0.4040088267745494,0.9680546375853712,6.703662654444854,1.902654041872644,0.3986934035024045,0.40369306161961027,2.3567125456641715,2.9001239970408865,strict_positive
0,55,475,0.0436741449062155,0.9082217973231358,6.289327387402719,1.8388541313542728,0.0434822409373855,0.04364040434303551,1.875734180239732,2.2756392764289877,strict_positive
0,26,1072,0.0985656491357116,0.6139747995418099,4.2517020988866685,1.447319396615754,0.0928138528138528,0.09849640146329382,1.526852263723896,2.1533220072263766,strict_positive
0,85,170,0.0156307465980139,1.0,6.924880470761309,1.9351207913845545,0.0156307465980139,0.015618461497780118,1.947816501937865,2.108641883959676,positive
0,77,222,0.0204119161456417,0.8951612903225806,6.1988849375363335,1.824369427091852,0.0203632361034672,0.02039619036997272,1.840907503707589,2.095641515078639,positive
0,13,1598,0.1469290180213313,0.4568324757004002,3.1635102893872418,1.151682262132227,0.1250782717595491,0.1468367122278969,1.2623000516396874,2.014519391881926,strict_positive
0,27,782,0.0719014343508642,0.4583821805392731,3.1742418101613974,1.1550688038782408,0.0662711864406779,0.07185619284424,1.206095966511727,1.869059372274499,strict_positive
0,33,561,0.0515814637734461,0.4071117561683599,2.819200249707616,1.0364532453336468,0.0479774223894637,0.051550887826642834,1.0703215025112787,1.7151056915117655,strict_positive
0,7,1226,0.1127252666421478,0.2446129289704708,1.6939152947233371,0.5270425918647521,0.0836175146637566,0.11268284693051507,0.5773541680253782,1.4786058249832374,strict_positive
0,4,1250,0.1149319602795145,0.1983182611454862,1.3733302536017191,0.3172386321677909,0.0784732249356519,0.11490325969893926,0.3516482962100089,1.318786513595386,strict_positive
1,9,4321,0.4584615384615385,0.9114110947057584,7.283069135041293,1.985552357850519,0.4389029964448959,0.4580423412270829,2.5321874706880396,3.0004936805184497,strict_positive
1,4,4325,0.4588859416445623,0.6861811835633825,5.483261097090308,1.7017000146735737,0.3792861527668157,0.45848827610838927,2.226824696280549,2.7737074903989773,strict_positive
10,71,102,0.0224719101123595,0.3655913978494624,6.066207563126737,1.8027336261433555,0.0216284987277353,0.022430653860950417,1.8198707631354347,1.8801904651244046,positive
101,102,102,1.0,1.0,738.3823529411765,6.604461783852645,1.0,0.9108352064187555,8.926982271004457,6.105738806299932,strict_positive
